Buying Price,Maintenance Cost,Number of Doors,Number of Persons,Lug_Boot,Safety,Classification
vhigh,vhigh,4,5,big,med,0
vhigh,vhigh,4,5,big,high,0
vhigh,vhigh,5,2,small,low,0
vhigh,vhigh,5,2,small,med,0
vhigh,vhigh,5,2,small,high,0
vhigh,vhigh,5,2,med,low,0
vhigh,vhigh,5,2,med,med,0
vhigh,vhigh,5,2,med,high,0
vhigh,vhigh,5,2,big,low,0
vhigh,vhigh,5,2,big,med,0
vhigh,vhigh,5,2,big,high,0
vhigh,vhigh,5,4,small,low,0
vhigh,vhigh,5,4,small,med,0
vhigh,vhigh,5,4,small,high,0
vhigh,vhigh,5,4,med,low,0
vhigh,vhigh,5,4,med,med,0
vhigh,vhigh,5,4,med,high,0
vhigh,vhigh,5,4,big,low,0
vhigh,vhigh,5,4,big,med,0
vhigh,vhigh,5,4,big,high,0
vhigh,vhigh,5,5,small,low,0
vhigh,vhigh,5,5,small,med,0
vhigh,vhigh,5,5,small,high,0
vhigh,vhigh,5,5,med,low,0
vhigh,vhigh,5,5,med,med,0
vhigh,vhigh,5,5,med,high,0
vhigh,vhigh,5,5,big,low,0
vhigh,vhigh,5,5,big,med,0
vhigh,vhigh,5,5,big,high,0
vhigh,high,2,2,small,low,0
vhigh,high,2,2,small,med,0
vhigh,high,2,2,small,high,0
vhigh,high,2,2,med,low,0
vhigh,high,2,2,med,med,0
vhigh,high,2,2,med,high,0
vhigh,high,2,2,big,low,0
vhigh,high,2,2,big,med,0
vhigh,high,2,2,big,high,0
vhigh,high,2,4,small,low,0
vhigh,high,2,4,small,med,0
vhigh,high,2,4,small,high,0
vhigh,high,2,4,med,low,0
vhigh,high,2,4,med,med,0
vhigh,high,2,4,med,high,0
vhigh,high,2,4,big,low,0
vhigh,high,2,4,big,med,0
vhigh,high,2,4,big,high,0
vhigh,high,2,5,small,low,0
vhigh,high,2,5,small,med,0
vhigh,high,2,5,small,high,0
vhigh,high,2,5,med,low,0
vhigh,high,2,5,med,med,0
vhigh,high,2,5,med,high,0
vhigh,high,2,5,big,low,0
vhigh,high,2,5,big,med,0
vhigh,high,2,5,big,high,0
vhigh,high,3,2,small,low,0
vhigh,high,3,2,small,med,0
vhigh,high,3,2,small,high,0
vhigh,high,3,2,med,low,0
vhigh,high,3,2,med,med,0
vhigh,high,3,2,med,high,0
vhigh,high,3,2,big,low,0
vhigh,high,3,2,big,med,0
vhigh,high,3,2,big,high,0
vhigh,high,3,4,small,low,0
vhigh,high,3,4,small,med,0
vhigh,high,3,4,small,high,0
vhigh,high,3,4,med,low,0
vhigh,high,3,4,med,med,0
vhigh,high,3,4,med,high,0
vhigh,high,3,4,big,low,0
vhigh,high,3,4,big,med,0
vhigh,high,3,4,big,high,0
vhigh,high,3,5,small,low,0
vhigh,high,3,5,small,med,0
vhigh,high,3,5,small,high,0
vhigh,high,3,5,med,low,0
vhigh,high,3,5,med,med,0
vhigh,high,3,5,med,high,0
vhigh,high,3,5,big,low,0
vhigh,high,3,5,big,med,0
vhigh,high,3,5,big,high,0
vhigh,high,4,2,small,low,0
vhigh,high,4,2,small,med,0
vhigh,high,4,2,small,high,0
vhigh,high,4,2,med,low,0
vhigh,high,4,2,med,med,0
vhigh,high,4,2,med,high,0
vhigh,high,4,2,big,low,0
vhigh,high,4,2,big,med,0
vhigh,high,4,2,big,high,0
vhigh,high,4,4,small,low,0
vhigh,high,4,4,small,med,0
vhigh,high,4,4,small,high,0
vhigh,high,4,4,med,low,0
vhigh,high,4,4,med,med,0
vhigh,high,4,4,med,high,0
vhigh,high,4,4,big,low,0
vhigh,high,4,4,big,med,0
vhigh,high,4,4,big,high,0
vhigh,high,4,5,small,low,0
vhigh,high,4,5,small,med,0
vhigh,high,4,5,small,high,0
vhigh,high,4,5,med,low,0
vhigh,high,4,5,med,med,0
vhigh,high,4,5,med,high,0
vhigh,high,4,5,big,low,0
vhigh,high,4,5,big,med,0
vhigh,high,4,5,big,high,0
vhigh,high,5,2,small,low,0
vhigh,high,5,2,small,med,0
vhigh,high,5,2,small,high,0
vhigh,high,5,2,med,low,0
vhigh,high,5,2,med,med,0
vhigh,high,5,2,med,high,0
vhigh,high,5,2,big,low,0
vhigh,high,5,2,big,med,0
vhigh,high,5,2,big,high,0
vhigh,high,5,4,small,low,0
vhigh,high,5,4,small,med,0
vhigh,high,5,4,small,high,0
vhigh,high,5,4,med,low,0
vhigh,high,5,4,med,med,0
vhigh,high,5,4,med,high,0
vhigh,high,5,4,big,low,0
vhigh,high,5,4,big,med,0
vhigh,high,5,4,big,high,0
vhigh,high,5,5,small,low,0
vhigh,high,5,5,small,med,0
vhigh,high,5,5,small,high,0
vhigh,high,5,5,med,low,0
vhigh,high,5,5,med,med,0
vhigh,high,5,5,med,high,0
vhigh,high,5,5,big,low,0
vhigh,high,5,5,big,med,0
vhigh,high,5,5,big,high,0
vhigh,med,2,2,small,low,0
vhigh,med,2,2,small,med,0
vhigh,med,2,2,small,high,0
vhigh,med,2,2,med,low,0
vhigh,med,2,2,med,med,0
vhigh,med,2,2,med,high,0
vhigh,med,2,2,big,low,0
vhigh,med,2,2,big,med,0
vhigh,med,2,2,big,high,0
vhigh,med,2,4,small,low,0
vhigh,med,2,4,small,med,0
vhigh,med,2,4,small,high,1
vhigh,med,2,4,med,low,0
vhigh,med,2,4,med,med,0
vhigh,med,2,4,med,high,1
vhigh,med,2,4,big,low,0
vhigh,med,2,4,big,med,1
vhigh,med,2,4,big,high,1
vhigh,med,2,5,small,low,0
vhigh,med,2,5,small,med,0
vhigh,med,2,5,small,high,0
vhigh,med,2,5,med,low,0
vhigh,med,2,5,med,med,0
vhigh,med,2,5,med,high,1
vhigh,med,2,5,big,low,0
vhigh,med,2,5,big,med,1
vhigh,med,2,5,big,high,1
vhigh,med,3,2,small,low,0
vhigh,med,3,2,small,med,0
vhigh,med,3,2,small,high,0
vhigh,med,3,2,med,low,0
vhigh,med,3,2,med,med,0
vhigh,med,3,2,med,high,0
vhigh,med,3,2,big,low,0
vhigh,med,3,2,big,med,0
vhigh,med,3,2,big,high,0
vhigh,med,3,4,small,low,0
vhigh,med,3,4,small,med,0
vhigh,med,3,4,small,high,1
vhigh,med,3,4,med,low,0
vhigh,med,3,4,med,med,0
vhigh,med,3,4,med,high,1
vhigh,med,3,4,big,low,0
vhigh,med,3,4,big,med,1
vhigh,med,3,4,big,high,1
vhigh,med,3,5,small,low,0
vhigh,med,3,5,small,med,0
vhigh,med,3,5,small,high,1
vhigh,med,3,5,med,low,0
vhigh,med,3,5,med,med,1
vhigh,med,3,5,med,high,1
vhigh,med,3,5,big,low,0
vhigh,med,3,5,big,med,1
vhigh,med,3,5,big,high,1
vhigh,med,4,2,small,low,0
vhigh,med,4,2,small,med,0
vhigh,med,4,2,small,high,0
vhigh,med,4,2,med,low,0
vhigh,med,4,2,med,med,0
vhigh,med,4,2,med,high,0
vhigh,med,4,2,big,low,0
vhigh,med,4,2,big,med,0
vhigh,med,4,2,big,high,0
vhigh,med,4,4,small,low,0
vhigh,med,4,4,small,med,0
vhigh,med,4,4,small,high,1
vhigh,med,4,4,med,low,0
vhigh,med,4,4,med,med,1
vhigh,med,4,4,med,high,1
vhigh,med,4,4,big,low,0
vhigh,med,4,4,big,med,1
vhigh,med,4,4,big,high,1
vhigh,med,4,5,small,low,0
vhigh,med,4,5,small,med,0
vhigh,med,4,5,small,high,1
vhigh,med,4,5,med,low,0
vhigh,med,4,5,med,med,1
vhigh,med,4,5,med,high,1
vhigh,med,4,5,big,low,0
vhigh,med,4,5,big,med,1
vhigh,med,4,5,big,high,1
vhigh,med,5,2,small,low,0
vhigh,med,5,2,small,med,0
vhigh,med,5,2,small,high,0
vhigh,med,5,2,med,low,0
vhigh,med,5,2,med,med,0
vhigh,med,5,2,med,high,0
vhigh,med,5,2,big,low,0
vhigh,med,5,2,big,med,0
vhigh,med,5,2,big,high,0
vhigh,med,5,4,small,low,0
vhigh,med,5,4,small,med,0
vhigh,med,5,4,small,high,1
vhigh,med,5,4,med,low,0
vhigh,med,5,4,med,med,1
vhigh,med,5,4,med,high,1
vhigh,med,5,4,big,low,0
vhigh,med,5,4,big,med,1
vhigh,med,5,4,big,high,1
vhigh,med,5,5,small,low,0
vhigh,med,5,5,small,med,0
vhigh,med,5,5,small,high,1
vhigh,med,5,5,med,low,0
vhigh,med,5,5,med,med,1
vhigh,med,5,5,med,high,1
vhigh,med,5,5,big,low,0
vhigh,med,5,5,big,med,1
vhigh,med,5,5,big,high,1
vhigh,low,2,2,small,low,0
vhigh,low,2,2,small,med,0
vhigh,low,2,2,small,high,0
vhigh,low,2,2,med,low,0
vhigh,low,2,2,med,med,0
vhigh,low,2,2,med,high,0
vhigh,low,2,2,big,low,0
vhigh,low,2,2,big,med,0
vhigh,low,2,2,big,high,0
vhigh,low,2,4,small,low,0
vhigh,low,2,4,small,med,0
vhigh,low,2,4,small,high,1
vhigh,low,2,4,med,low,0
vhigh,low,2,4,med,med,0
vhigh,low,2,4,med,high,1
vhigh,low,2,4,big,low,0
vhigh,low,2,4,big,med,1
vhigh,low,2,4,big,high,1
vhigh,low,2,5,small,low,0
vhigh,low,2,5,small,med,0
vhigh,low,2,5,small,high,0
vhigh,low,2,5,med,low,0
vhigh,low,2,5,med,med,0
vhigh,low,2,5,med,high,1
vhigh,low,2,5,big,low,0
vhigh,low,2,5,big,med,1
vhigh,low,2,5,big,high,1
vhigh,low,3,2,small,low,0
vhigh,low,3,2,small,med,0
vhigh,low,3,2,small,high,0
vhigh,low,3,2,med,low,0
vhigh,low,3,2,med,med,0
vhigh,low,3,2,med,high,0
vhigh,low,3,2,big,low,0
vhigh,low,3,2,big,med,0
vhigh,low,3,2,big,high,0
vhigh,low,3,4,small,low,0
vhigh,low,3,4,small,med,0
vhigh,low,3,4,small,high,1
vhigh,low,3,4,med,low,0
vhigh,low,3,4,med,med,0
vhigh,low,3,4,med,high,1
vhigh,low,3,4,big,low,0
vhigh,low,3,4,big,med,1
vhigh,low,3,4,big,high,1
vhigh,low,3,5,small,low,0
vhigh,low,3,5,small,med,0
vhigh,low,3,5,small,high,1
vhigh,low,3,5,med,low,0
vhigh,low,3,5,med,med,1
vhigh,low,3,5,med,high,1
vhigh,low,3,5,big,low,0
vhigh,low,3,5,big,med,1
vhigh,low,3,5,big,high,1
vhigh,low,4,2,small,low,0
vhigh,low,4,2,small,med,0
vhigh,low,4,2,small,high,0
vhigh,low,4,2,med,low,0
vhigh,low,4,2,med,med,0
vhigh,low,4,2,med,high,0
vhigh,low,4,2,big,low,0
vhigh,low,4,2,big,med,0
vhigh,low,4,2,big,high,0
vhigh,low,4,4,small,low,0
vhigh,low,4,4,small,med,0
vhigh,low,4,4,small,high,1
vhigh,low,4,4,med,low,0
vhigh,low,4,4,med,med,1
vhigh,low,4,4,med,high,1
vhigh,low,4,4,big,low,0
vhigh,low,4,4,big,med,1
vhigh,low,4,4,big,high,1
vhigh,low,4,5,small,low,0
vhigh,low,4,5,small,med,0
vhigh,low,4,5,small,high,1
vhigh,low,4,5,med,low,0
vhigh,low,4,5,med,med,1
vhigh,low,4,5,med,high,1
vhigh,low,4,5,big,low,0
vhigh,low,4,5,big,med,1
vhigh,low,4,5,big,high,1
vhigh,low,5,2,small,low,0
vhigh,low,5,2,small,med,0
vhigh,low,5,2,small,high,0
vhigh,low,5,2,med,low,0
vhigh,low,5,2,med,med,0
vhigh,low,5,2,med,high,0
vhigh,low,5,2,big,low,0
vhigh,low,5,2,big,med,0
vhigh,low,5,2,big,high,0
vhigh,low,5,4,small,low,0
vhigh,low,5,4,small,med,0
vhigh,low,5,4,small,high,1
vhigh,low,5,4,med,low,0
vhigh,low,5,4,med,med,1
vhigh,low,5,4,med,high,1
vhigh,low,5,4,big,low,0
vhigh,low,5,4,big,med,1
vhigh,low,5,4,big,high,1
vhigh,low,5,5,small,low,0
vhigh,low,5,5,small,med,0
vhigh,low,5,5,small,high,1
vhigh,low,5,5,med,low,0
vhigh,low,5,5,med,med,1
vhigh,low,5,5,med,high,1
vhigh,low,5,5,big,low,0
vhigh,low,5,5,big,med,1
vhigh,low,5,5,big,high,1
high,vhigh,2,2,small,low,0
high,vhigh,2,2,small,med,0
high,vhigh,2,2,small,high,0
high,vhigh,2,2,med,low,0
high,vhigh,2,2,med,med,0
high,vhigh,2,2,med,high,0
high,vhigh,2,2,big,low,0
high,vhigh,2,2,big,med,0
high,vhigh,2,2,big,high,0
high,vhigh,2,4,small,low,0
high,vhigh,2,4,small,med,0
high,vhigh,2,4,small,high,0
high,vhigh,2,4,med,low,0
high,vhigh,2,4,med,med,0
high,vhigh,2,4,med,high,0
high,vhigh,2,4,big,low,0
high,vhigh,2,4,big,med,0
high,vhigh,2,4,big,high,0
high,vhigh,2,5,small,low,0
high,vhigh,2,5,small,med,0
high,vhigh,2,5,small,high,0
high,vhigh,2,5,med,low,0
high,vhigh,2,5,med,med,0
high,vhigh,2,5,med,high,0
high,vhigh,2,5,big,low,0
high,vhigh,2,5,big,med,0
high,vhigh,2,5,big,high,0
high,vhigh,3,2,small,low,0
high,vhigh,3,2,small,med,0
high,vhigh,3,2,small,high,0
high,vhigh,3,2,med,low,0
high,vhigh,3,2,med,med,0
high,vhigh,3,2,med,high,0
high,vhigh,3,2,big,low,0
high,vhigh,3,2,big,med,0
high,vhigh,3,2,big,high,0
high,vhigh,3,4,small,low,0
high,vhigh,3,4,small,med,0
high,vhigh,3,4,small,high,0
high,vhigh,3,4,med,low,0
high,vhigh,3,4,med,med,0
high,vhigh,3,4,med,high,0
high,vhigh,3,4,big,low,0
high,vhigh,3,4,big,med,0
high,vhigh,3,4,big,high,0
high,vhigh,3,5,small,low,0
high,vhigh,3,5,small,med,0
high,vhigh,3,5,small,high,0
high,vhigh,3,5,med,low,0
high,vhigh,3,5,med,med,0
high,vhigh,3,5,med,high,0
high,vhigh,3,5,big,low,0
high,vhigh,3,5,big,med,0
high,vhigh,3,5,big,high,0
high,vhigh,4,2,small,low,0
high,vhigh,4,2,small,med,0
high,vhigh,4,2,small,high,0
high,vhigh,4,2,med,low,0
high,vhigh,4,2,med,med,0
high,vhigh,4,2,med,high,0
high,vhigh,4,2,big,low,0
high,vhigh,4,2,big,med,0
high,vhigh,4,2,big,high,0
high,vhigh,4,4,small,low,0
high,vhigh,4,4,small,med,0
high,vhigh,4,4,small,high,0
high,vhigh,4,4,med,low,0
high,vhigh,4,4,med,med,0
high,vhigh,4,4,med,high,0
high,vhigh,4,4,big,low,0
high,vhigh,4,4,big,med,0
high,vhigh,4,4,big,high,0
high,vhigh,4,5,small,low,0
high,vhigh,4,5,small,med,0
high,vhigh,4,5,small,high,0
high,vhigh,4,5,med,low,0
high,vhigh,4,5,med,med,0
high,vhigh,4,5,med,high,0
high,vhigh,4,5,big,low,0
high,vhigh,4,5,big,med,0
high,vhigh,4,5,big,high,0
high,vhigh,5,2,small,low,0
high,vhigh,5,2,small,med,0
high,vhigh,5,2,small,high,0
high,vhigh,5,2,med,low,0
high,vhigh,5,2,med,med,0
high,vhigh,5,2,med,high,0
high,vhigh,5,2,big,low,0
high,vhigh,5,2,big,med,0
high,vhigh,5,2,big,high,0
high,vhigh,5,4,small,low,0
high,vhigh,5,4,small,med,0
high,vhigh,5,4,small,high,0
high,vhigh,5,4,med,low,0
high,vhigh,5,4,med,med,0
high,vhigh,5,4,med,high,0
high,vhigh,5,4,big,low,0
high,vhigh,5,4,big,med,0
high,vhigh,5,4,big,high,0
high,vhigh,5,5,small,low,0
high,vhigh,5,5,small,med,0
high,vhigh,5,5,small,high,0
high,vhigh,5,5,med,low,0
high,vhigh,5,5,med,med,0
high,vhigh,5,5,med,high,0
high,vhigh,5,5,big,low,0
high,vhigh,5,5,big,med,0
high,vhigh,5,5,big,high,0
high,high,2,2,small,low,0
high,high,2,2,small,med,0
high,high,2,2,small,high,0
high,high,2,2,med,low,0
high,high,2,2,med,med,0
high,high,2,2,med,high,0
high,high,2,2,big,low,0
high,high,2,2,big,med,0
high,high,2,2,big,high,0
high,high,2,4,small,low,0
high,high,2,4,small,med,0
high,high,2,4,small,high,1
high,high,2,4,med,low,0
high,high,2,4,med,med,0
high,high,2,4,med,high,1
high,high,2,4,big,low,0
high,high,2,4,big,med,1
high,high,2,4,big,high,1
high,high,2,5,small,low,0
high,high,2,5,small,med,0
high,high,2,5,small,high,0
high,high,2,5,med,low,0
high,high,2,5,med,med,0
high,high,2,5,med,high,1
high,high,2,5,big,low,0
high,high,2,5,big,med,1
high,high,2,5,big,high,1
high,high,3,2,small,low,0
high,high,3,2,small,med,0
high,high,3,2,small,high,0
high,high,3,2,med,low,0
high,high,3,2,med,med,0
high,high,3,2,med,high,0
high,high,3,2,big,low,0
high,high,3,2,big,med,0
high,high,3,2,big,high,0
high,high,3,4,small,low,0
high,high,3,4,small,med,0
high,high,3,4,small,high,1
high,high,3,4,med,low,0
high,high,3,4,med,med,0
high,high,3,4,med,high,1
high,high,3,4,big,low,0
high,high,3,4,big,med,1
high,high,3,4,big,high,1
high,high,3,5,small,low,0
high,high,3,5,small,med,0
high,high,3,5,small,high,1
high,high,3,5,med,low,0
high,high,3,5,med,med,1
high,high,3,5,med,high,1
high,high,3,5,big,low,0
high,high,3,5,big,med,1
high,high,3,5,big,high,1
high,high,4,2,small,low,0
high,high,4,2,small,med,0
high,high,4,2,small,high,0
high,high,4,2,med,low,0
high,high,4,2,med,med,0
high,high,4,2,med,high,0
high,high,4,2,big,low,0
high,high,4,2,big,med,0
high,high,4,2,big,high,0
high,high,4,4,small,low,0
high,high,4,4,small,med,0
high,high,4,4,small,high,1
high,high,4,4,med,low,0
high,high,4,4,med,med,1
high,high,4,4,med,high,1
high,high,4,4,big,low,0
high,high,4,4,big,med,1
high,high,4,4,big,high,1
high,high,4,5,small,low,0
high,high,4,5,small,med,0
high,high,4,5,small,high,1
high,high,4,5,med,low,0
high,high,4,5,med,med,1
high,high,4,5,med,high,1
high,high,4,5,big,low,0
high,high,4,5,big,med,1
high,high,4,5,big,high,1
high,high,5,2,small,low,0
high,high,5,2,small,med,0
high,high,5,2,small,high,0
high,high,5,2,med,low,0
high,high,5,2,med,med,0
high,high,5,2,med,high,0
high,high,5,2,big,low,0
high,high,5,2,big,med,0
high,high,5,2,big,high,0
high,high,5,4,small,low,0
high,high,5,4,small,med,0
high,high,5,4,small,high,1
high,high,5,4,med,low,0
high,high,5,4,med,med,1
high,high,5,4,med,high,1
high,high,5,4,big,low,0
high,high,5,4,big,med,1
high,high,5,4,big,high,1
high,high,5,5,small,low,0
high,high,5,5,small,med,0
high,high,5,5,small,high,1
high,high,5,5,med,low,0
high,high,5,5,med,med,1
high,high,5,5,med,high,1
high,high,5,5,big,low,0
high,high,5,5,big,med,1
high,high,5,5,big,high,1
high,med,2,2,small,low,0
high,med,2,2,small,med,0
high,med,2,2,small,high,0
high,med,2,2,med,low,0
high,med,2,2,med,med,0
high,med,2,2,med,high,0
high,med,2,2,big,low,0
high,med,2,2,big,med,0
high,med,2,2,big,high,0
high,med,2,4,small,low,0
high,med,2,4,small,med,0
high,med,2,4,small,high,1
high,med,2,4,med,low,0
high,med,2,4,med,med,0
high,med,2,4,med,high,1
high,med,2,4,big,low,0
high,med,2,4,big,med,1
high,med,2,4,big,high,1
high,med,2,5,small,low,0
high,med,2,5,small,med,0
high,med,2,5,small,high,0
high,med,2,5,med,low,0
high,med,2,5,med,med,0
high,med,2,5,med,high,1
high,med,2,5,big,low,0
high,med,2,5,big,med,1
high,med,2,5,big,high,1
high,med,3,2,small,low,0
high,med,3,2,small,med,0
high,med,3,2,small,high,0
high,med,3,2,med,low,0
high,med,3,2,med,med,0
high,med,3,2,med,high,0
high,med,3,2,big,low,0
high,med,3,2,big,med,0
high,med,3,2,big,high,0
high,med,3,4,small,low,0
high,med,3,4,small,med,0
high,med,3,4,small,high,1
high,med,3,4,med,low,0
high,med,3,4,med,med,0
high,med,3,4,med,high,1
high,med,3,4,big,low,0
high,med,3,4,big,med,1
high,med,3,4,big,high,1
high,med,3,5,small,low,0
high,med,3,5,small,med,0
high,med,3,5,small,high,1
high,med,3,5,med,low,0
high,med,3,5,med,med,1
high,med,3,5,med,high,1
high,med,3,5,big,low,0
high,med,3,5,big,med,1
high,med,3,5,big,high,1
high,med,4,2,small,low,0
high,med,4,2,small,med,0
high,med,4,2,small,high,0
high,med,4,2,med,low,0
high,med,4,2,med,med,0
high,med,4,2,med,high,0
high,med,4,2,big,low,0
high,med,4,2,big,med,0
high,med,4,2,big,high,0
high,med,4,4,small,low,0
high,med,4,4,small,med,0
high,med,4,4,small,high,1
high,med,4,4,med,low,0
high,med,4,4,med,med,1
high,med,4,4,med,high,1
high,med,4,4,big,low,0
high,med,4,4,big,med,1
high,med,4,4,big,high,1
high,med,4,5,small,low,0
high,med,4,5,small,med,0
high,med,4,5,small,high,1
high,med,4,5,med,low,0
high,med,4,5,med,med,1
high,med,4,5,med,high,1
high,med,4,5,big,low,0
high,med,4,5,big,med,1
high,med,4,5,big,high,1
high,med,5,2,small,low,0
high,med,5,2,small,med,0
high,med,5,2,small,high,0
high,med,5,2,med,low,0
high,med,5,2,med,med,0
high,med,5,2,med,high,0
high,med,5,2,big,low,0
high,med,5,2,big,med,0
high,med,5,2,big,high,0
high,med,5,4,small,low,0
high,med,5,4,small,med,0
high,med,5,4,small,high,1
high,med,5,4,med,low,0
high,med,5,4,med,med,1
high,med,5,4,med,high,1
high,med,5,4,big,low,0
high,med,5,4,big,med,1
high,med,5,4,big,high,1
high,med,5,5,small,low,0
high,med,5,5,small,med,0
high,med,5,5,small,high,1
high,med,5,5,med,low,0
high,med,5,5,med,med,1
high,med,5,5,med,high,1
high,med,5,5,big,low,0
high,med,5,5,big,med,1
high,med,5,5,big,high,1
high,low,2,2,small,low,0
high,low,2,2,small,med,0
high,low,2,2,small,high,0
high,low,2,2,med,low,0
high,low,2,2,med,med,0
high,low,2,2,med,high,0
high,low,2,2,big,low,0
high,low,2,2,big,med,0
high,low,2,2,big,high,0
high,low,2,4,small,low,0
high,low,2,4,small,med,0
high,low,2,4,small,high,1
high,low,2,4,med,low,0
high,low,2,4,med,med,0
high,low,2,4,med,high,1
high,low,2,4,big,low,0
high,low,2,4,big,med,1
high,low,2,4,big,high,1
high,low,2,5,small,low,0
high,low,2,5,small,med,0
high,low,2,5,small,high,0
high,low,2,5,med,low,0
high,low,2,5,med,med,0
high,low,2,5,med,high,1
high,low,2,5,big,low,0
high,low,2,5,big,med,1
high,low,2,5,big,high,1
high,low,3,2,small,low,0
high,low,3,2,small,med,0
high,low,3,2,small,high,0
high,low,3,2,med,low,0
high,low,3,2,med,med,0
high,low,3,2,med,high,0
high,low,3,2,big,low,0
high,low,3,2,big,med,0
high,low,3,2,big,high,0
high,low,3,4,small,low,0
high,low,3,4,small,med,0
high,low,3,4,small,high,1
high,low,3,4,med,low,0
high,low,3,4,med,med,0
high,low,3,4,med,high,1
high,low,3,4,big,low,0
high,low,3,4,big,med,1
high,low,3,4,big,high,1
high,low,3,5,small,low,0
high,low,3,5,small,med,0
high,low,3,5,small,high,1
high,low,3,5,med,low,0
high,low,3,5,med,med,1
high,low,3,5,med,high,1
high,low,3,5,big,low,0
high,low,3,5,big,med,1
high,low,3,5,big,high,1
high,low,4,2,small,low,0
high,low,4,2,small,med,0
high,low,4,2,small,high,0
high,low,4,2,med,low,0
high,low,4,2,med,med,0
high,low,4,2,med,high,0
high,low,4,2,big,low,0
high,low,4,2,big,med,0
high,low,4,2,big,high,0
high,low,4,4,small,low,0
high,low,4,4,small,med,0
high,low,4,4,small,high,1
high,low,4,4,med,low,0
high,low,4,4,med,med,1
high,low,4,4,med,high,1
high,low,4,4,big,low,0
high,low,4,4,big,med,1
high,low,4,4,big,high,1
high,low,4,5,small,low,0
high,low,4,5,small,med,0
high,low,4,5,small,high,1
high,low,4,5,med,low,0
high,low,4,5,med,med,1
high,low,4,5,med,high,1
high,low,4,5,big,low,0
high,low,4,5,big,med,1
high,low,4,5,big,high,1
high,low,5,2,small,low,0
high,low,5,2,small,med,0
high,low,5,2,small,high,0
high,low,5,2,med,low,0
high,low,5,2,med,med,0
high,low,5,2,med,high,0
high,low,5,2,big,low,0
high,low,5,2,big,med,0
high,low,5,2,big,high,0
high,low,5,4,small,low,0
high,low,5,4,small,med,0
high,low,5,4,small,high,1
high,low,5,4,med,low,0
high,low,5,4,med,med,1
high,low,5,4,med,high,1
high,low,5,4,big,low,0
